Date,Close/Last,Volume,Open,High,Low
03-11-2022,$1440.7644,688,$1568.2657,$1588.6659,$1440.7644
03-10-2022,$1593.7659,2942,$1438.2144,$1647.3165,$1438.2144
03-09-2022,$1440.7644,699,$1394.864,$1527.4653,$1377.0138
03-08-2022,$1364.2636,1461,$1377.0138,$1471.3647,$1241.8624
03-07-2022,$1351.5135,1395,$1563.1656,$1583.5658,$1338.7634
03-04-2022,$1583.5658,652,$1652.4165,$1698.266,$1545.3155
03-03-2022,$1683.0168,673,$1810.5181,$1818.1682,$1665.1667
03-02-2022,$1787.5679,1848,$1728.9173,$1848.7685,$1696.685
03-01-2022,$1700.867,742,$1680.4668,$1708.5171,$1542.7654
02/28/2022,$1670.2667,1110,$1565.7157,$1690.6669,$1553.2205
02/25/2022,$1540.2154,569,$1507.0651,$1560.6411,$1479.0403
02/24/2022,$1517.2652,1396,$1341.3134,$1522.3652,$1300.513
02/23/2022,$1425.4643,667,$1428.0143,$1456.0646,$1338.7634
02/22/2022,$1428.0143,1260,$1453.5145,$1486.6394,$1338.7634
02/18/2022,$1519.8152,1330,$1568.2657,$1598.815,$1428.0143
02/17/2022,$1581.0158,2400,$1734.0173,$1734.0173,$1512.1651
02/16/2022,$1741.6674,1991,$1693.2169,$1759.5176,$1634.5663
02/15/2022,$1700.867,5773,$1629.4663,$1744.2174,$1583.5658
02/14/2022,$1624.3662,11889,$1491.7649,$1764.6177,$1491.7649
02-11-2022,$1491.7649,10413,$1282.6628,$1578.4658,$1282.6628
02-10-2022,$1295.413,7246,$1104.161,$1422.9142,$1104.161
02-09-2022,$1162.8116,2988,$1007.2601,$1206.1621,$1007.2601
02-08-2022,$981.7598,2842,$997.06,$1058.2606,$943.5349
02-07-2022,$997.06,3456,$1144.9615,$1181.1718,$972.8347
02-04-2022,$1150.0615,5051,$1292.8629,$1341.3134,$1134.7614
02-03-2022,$1323.4632,4501,$1295.413,$1356.6136,$1259.7126
02-02-2022,$1326.0133,2814,$1300.513,$1351.5135,$1285.2129
02-01-2022,$1300.513,5215,$1326.0133,$1412.6886,$1282.6628
01/31/2022,$1369.3637,5928,$1229.1123,$1420.3642,$1203.612
01/28/2022,$1275.0128,7715,$1315.8132,$1425.4643,$1257.1626
01/27/2022,$1318.3632,4865,$1356.6136,$1491.7649,$1295.668
01/26/2022,$1333.6633,7718,$1504.515,$1581.0158,$1331.1133
01/25/2022,$1501.965,32971,$1448.4145,$1858.9686,$1331.1133
01/24/2022,$1514.7152,5333,$1598.866,$1601.416,$1367.7062
01/21/2022,$1711.0671,11876,$1823.2682,$1876.8188,$1611.7691
01/20/2022,$1810.5181,15308,$2027.2703,$2167.4962,$1772.2677
01/19/2022,$2040.0204,24177,$2014.5202,$2244.0224,$1950.7695
01/18/2022,$1945.6695,39641,$2098.671,$2521.9752,$1912.5191
01/14/2022,$2284.8229,39797,$1925.2693,$2381.7238,$1864.0686
01/13/2022,$2022.1702,15364,$2045.1205,$2088.4709,$1836.0184
01-12-2022,$2062.9706,22848,$2024.7203,$2185.3719,$1884.4688
01-11-2022,$2055.3206,33033,$2046.9055,$2200.672,$1935.4694
01-10-2022,$2004.32,58055,$1650.1215,$2129.2713,$1644.7665
01-07-2022,$1555.5156,15810,$1731.4673,$1884.4688,$1448.4145
01-06-2022,$1721.2672,25984,$2286.8629,$2437.8244,$1657.5166
01-05-2022,$2269.5227,94821,$2152.2215,$2674.9513,$2073.1707
01-04-2022,$2376.6238,204409,$1782.4678,$2572.9757,$1736.5674
01-03-2022,$1932.9193,100481,$1660.0666,$2435.2744,$1606.5161
12/31/2021,$1642.2164,13831,$1609.0661,$1779.9178,$1532.5653
12/30/2021,$1675.3668,92655,$1917.6192,$1971.1697,$1624.3662
12/29/2021,$1593.7659,28737,$1494.3149,$1708.5171,$1343.8889
12/28/2021,$1535.1154,181215,$1825.8183,$1874.2432,$1448.4145
12/27/2021,$1354.0635,39934,$1065.9107,$1509.6151,$1063.3606
12/23/2021,$1101.611,7629,$1175.5618,$1178.1118,$1053.1605
12/22/2021,$1234.2123,23177,$1226.5623,$1333.6633,$1032.7603
12/21/2021,$1389.7639,296175,$1915.0692,$2103.771,$1300.513
12/20/2021,$777.7578,2856,$716.5572,$795.608,$652.8065
12/17/2021,$734.4073,1284,$739.5074,$782.8578,$693.6069
12/16/2021,$759.9076,3062,$719.1072,$775.2078,$632.4063
12/15/2021,$693.6069,15658,$739.2524,$861.9086,$647.7065
12/14/2021,$721.6572,9459,$627.3063,$813.4581,$576.3058
12/13/2021,$650.2565,19881,$535.5054,$744.5819,$532.9553
12-10-2021,$530.4053,293,$558.4556,$571.2057,$525.3053
12-09-2021,$530.4053,430,$515.1052,$535.5054,$489.6049
12-08-2021,$510.0051,360,$502.355,$525.3053,$492.1549
12-07-2021,$502.355,135,$507.4551,$520.2052,$492.1549
12-06-2021,$492.1549,151,$502.355,$518.0632,$471.7547
12-03-2021,$520.2052,201,$512.5551,$535.5054,$474.3047
12-02-2021,$497.255,270,$517.6552,$548.2555,$497.255
12-01-2021,$517.6552,262,$535.5054,$555.9056,$510.0051
11/30/2021,$538.0554,797,$553.3555,$576.3058,$507.4551
11/29/2021,$568.6557,524,$606.9061,$632.3808,$545.7055
11/26/2021,$601.806,309,$606.9061,$643.8559,$594.1559
11/24/2021,$660.4566,1607,$576.3058,$675.7568,$548.2555
11/23/2021,$617.1062,3604,$467.5472,$619.6562,$467.5472
11/22/2021,$538.0554,75992,$530.9153,$861.9086,$502.355
11/19/2021,$517.6552,79,$525.3053,$525.3053,$512.6061
11/18/2021,$525.3053,99,$581.4058,$581.4058,$522.7552
11/17/2021,$566.1057,83,$578.8558,$581.4058,$561.0056
11/16/2021,$566.1057,124,$568.6557,$581.4058,$548.2555
11/15/2021,$581.4058,113,$596.706,$604.356,$561.0056
11-12-2021,$586.5059,175,$594.1559,$609.4561,$581.4058
11-11-2021,$599.256,295,$609.4561,$609.4561,$586.5059
11-10-2021,$609.4561,73,$612.0061,$624.7562,$599.256
11-09-2021,$617.1062,95,$624.7562,$637.5064,$611.8786
11-08-2021,$627.3063,71,$619.6562,$637.5064,$619.6562
11-05-2021,$617.1062,39,$612.0061,$642.5299,$609.4561
11-04-2021,$614.5561,74,$627.3063,$627.3063,$596.706
11-03-2021,$627.3063,74,$637.5064,$638.7814,$606.9061
11-02-2021,$624.7562,81,$645.1565,$663.0066,$606.9061
11-01-2021,$634.9564,62,$624.7562,$660.4311,$614.5561
10/29/2021,$609.4561,114,$614.5561,$660.4566,$606.9061
10/28/2021,$624.7562,110,$645.1565,$663.0066,$617.1062
10/27/2021,$650.2565,151,$701.257,$701.257,$632.4063
10/26/2021,$685.9569,1372,$624.7562,$762.4576,$587.7809
10/25/2021,$599.256,86,$678.3068,$678.3068,$599.256
10/22/2021,$601.806,64,$604.356,$631.1313,$586.5059
10/21/2021,$622.2062,67,$629.8563,$629.8563,$604.356
10/20/2021,$627.3063,39,$612.0061,$644.5189,$612.0061
10/19/2021,$619.7837,70,$642.6064,$644.4424,$609.4561
10/18/2021,$634.9564,89,$701.257,$701.257,$628.5813
10/15/2021,$596.706,70,$609.4561,$612.0061,$581.4058
10/14/2021,$609.4561,48,$609.4561,$609.4561,$586.5059
10/13/2021,$612.0061,66,$647.324,$647.324,$604.3815
10-12-2021,$612.0061,146,$657.9066,$657.9066,$603.948
10-11-2021,$586.5059,175,$714.0071,$714.0071,$583.9558
10-08-2021,$680.8568,67,$642.6064,$706.3571,$642.6064
10-07-2021,$668.1067,60,$684.8093,$701.2315,$663.0066
10-06-2021,$678.0008,40,$668.1322,$713.9816,$668.1322
10-05-2021,$688.5069,131,$675.7568,$716.5572,$675.7568
10-04-2021,$670.6567,84,$642.6064,$680.8568,$642.6064
10-01-2021,$665.5567,47,$599.256,$678.3068,$599.256
09/30/2021,$665.3017,154,$615.8312,$688.4814,$586.5314
09/29/2021,$617.1062,56,$612.0061,$634.9564,$591.6059
09/28/2021,$629.8563,156,$686.0079,$686.0079,$629.8563
09/27/2021,$647.7065,85,$683.4068,$688.5069,$646.4315
09/24/2021,$675.7568,54,$657.9066,$713.1146,$637.5064
09/23/2021,$660.4566,58,$670.6567,$689.8329,$650.2565
09/22/2021,$665.5567,46,$648.8285,$688.5069,$648.8285
09/21/2021,$691.0569,168,$671.9317,$701.257,$652.8065
09/20/2021,$660.4566,102,$660.4566,$691.1589,$650.2565
09/17/2021,$693.6069,96,$683.4068,$701.257,$663.0066
09/16/2021,$683.4068,121,$701.257,$701.257,$669.3817
09/15/2021,$711.4571,40,$696.157,$729.3073,$695.392
09/14/2021,$734.4073,208,$710.9471,$739.5074,$693.7089
09/13/2021,$714.0071,62,$765.0077,$765.0077,$710.9981
09-10-2021,$720.3822,56,$765.0077,$765.0077,$711.4571
09-09-2021,$729.3073,56,$726.7573,$765.0077,$726.7573
09-08-2021,$726.7573,36,$765.0077,$765.0077,$718.3932
09-07-2021,$765.0077,63,$731.8573,$765.0077,$726.7828
09-03-2021,$726.7573,119,$721.6572,$739.5074,$701.257
09-02-2021,$716.5572,26,$719.1072,$719.1072,$687.6399
09-01-2021,$701.257,162,$714.0071,$726.7573,$680.8568
08/31/2021,$719.1072,37,$749.7075,$749.7075,$703.8835
08/30/2021,$726.7573,39,$759.9076,$795.608,$726.7573
08/27/2021,$759.9076,46,$749.7075,$765.0077,$740.7824
08/26/2021,$731.8573,93,$798.158,$798.158,$731.8573
08/25/2021,$759.9076,147,$752.2575,$803.258,$726.7573
08/24/2021,$742.0574,22,$762.4576,$762.4576,$716.6847
08/23/2021,$757.3576,91,$708.9071,$774.5447,$708.9071
08/20/2021,$683.4068,48,$698.707,$698.707,$663.0066
08/19/2021,$647.7065,204,$714.0071,$714.0071,$637.5064
08/18/2021,$714.0071,198,$729.3073,$757.3576,$690.4449
08/17/2021,$739.5074,225,$785.4079,$785.4079,$731.8573
08/16/2021,$772.6577,148,$775.2078,$789.2329,$726.7573
08/13/2021,$757.3576,103,$787.9579,$804.482,$739.5329
08-12-2021,$808.3581,27,$782.8578,$808.3581,$780.3078
08-11-2021,$793.0579,37,$810.9081,$810.9081,$785.4079
08-10-2021,$810.9081,80,$782.8578,$810.9081,$780.3078
08-09-2021,$795.608,54,$795.608,$800.708,$777.7578
08-06-2021,$793.0579,25,$813.4326,$813.4326,$793.0579
08-05-2021,$813.4581,48,$826.2083,$826.2083,$800.453
08-04-2021,$813.4581,49,$813.4581,$817.2832,$801.7025
08-03-2021,$813.4581,89,$821.1082,$841.5084,$806.7771
08-02-2021,$810.9081,22,$814.7331,$818.5327,$803.2835
07/30/2021,$831.3083,49,$852.5245,$852.5245,$813.4836
07/29/2021,$841.5084,110,$831.3083,$841.5084,$808.3581
07/28/2021,$805.8081,42,$818.5582,$833.8583,$800.708
07/27/2021,$818.5582,54,$841.5084,$841.5084,$793.0579
07/26/2021,$838.6779,46,$813.4581,$864.0251,$803.258
07/23/2021,$816.0082,56,$828.7583,$864.4586,$798.158
07/22/2021,$826.2083,48,$821.1082,$841.5084,$816.0337
07/21/2021,$833.8583,75,$841.5084,$849.1585,$822.3832
07/20/2021,$836.4084,133,$810.9081,$882.3088,$800.708
07/19/2021,$821.1082,184,$770.1077,$831.3083,$770.1077
07/16/2021,$833.8583,36,$844.0584,$867.0087,$826.2083
07/15/2021,$844.0584,432,$785.4079,$905.2591,$780.3078
07/14/2021,$803.258,113,$849.1585,$849.1585,$793.0579
07/13/2021,$851.7085,41,$844.0584,$874.6587,$838.9584
07-12-2021,$854.2585,115,$874.6587,$874.6587,$841.5084
07-09-2021,$856.8086,80,$884.8589,$884.8589,$852.907
07-08-2021,$869.5587,120,$900.159,$915.4592,$846.6085
07-07-2021,$912.9091,287,$895.059,$953.7095,$895.059
07-06-2021,$905.2591,82,$884.8589,$918.0092,$884.8589
07-02-2021,$884.8589,101,$928.9743,$938.4094,$882.3088
07-01-2021,$930.7593,59,$895.059,$948.6095,$895.059
06/30/2021,$900.159,285,$948.6095,$948.6095,$869.5587
06/29/2021,$946.0595,498,$961.3596,$979.2098,$930.7593
06/28/2021,$956.2596,279,$951.1595,$979.2098,$935.8849
06/25/2021,$951.1595,622,$951.1595,$974.1097,$937.1344
06/24/2021,$951.1595,185,$920.5592,$976.6598,$920.5592
06/23/2021,$915.4592,153,$989.4099,$989.4099,$912.9091
06/22/2021,$989.4099,165,$974.1097,$989.4099,$920.5592
06/21/2021,$974.1097,216,$956.2596,$976.6598,$897.609
06/18/2021,$966.4597,305,$976.6598,$976.6598,$918.0092
06/17/2021,$976.6598,298,$910.3591,$976.6598,$887.4089
06/16/2021,$925.6593,329,$948.6095,$948.6095,$882.3088
06/15/2021,$938.4094,112,$969.0097,$969.0097,$918.0092
06/14/2021,$976.6598,91,$1002.16,$1002.16,$953.7095
06-11-2021,$979.2098,145,$969.0097,$994.5099,$951.1595
06-10-2021,$979.2098,820,$1032.7603,$1086.3109,$943.5094
06-09-2021,$1004.71,686,$1065.9107,$1091.4109,$997.06
06-08-2021,$1058.2606,377,$1060.8106,$1078.6608,$1022.5602
06-07-2021,$1045.5105,284,$1032.7603,$1071.0107,$1020.2652
06-04-2021,$1012.3601,261,$1014.9102,$1031.7403,$994.5099
06-03-2021,$989.4099,186,$1007.2601,$1012.3346,$976.6598
06-02-2021,$1007.2601,243,$994.5099,$1014.9102,$969.0097
06-01-2021,$1014.9102,275,$999.61,$1020.0102,$958.8096
05/28/2021,$981.7598,409,$1004.71,$1007.2601,$943.5094
05/27/2021,$976.6598,690,$889.9589,$989.4099,$877.2088
05/26/2021,$879.7588,331,$821.1082,$903.321,$821.1082
05/25/2021,$838.9584,697,$879.7588,$892.5089,$833.8583
05/24/2021,$887.4089,386,$918.0092,$920.5592,$854.284
05/21/2021,$935.8594,1458,$935.8594,$951.1595,$848.9035
05/20/2021,$935.8339,795,$851.7085,$981.7598,$851.7085
05/19/2021,$859.3586,727,$984.3098,$984.3098,$842.1969
05/18/2021,$966.4597,1988,$979.2098,$1032.7603,$892.5089
05/17/2021,$940.9594,1493,$889.9589,$943.5094,$872.1087
05/14/2021,$905.2591,5405,$846.6085,$918.0092,$795.608
05/13/2021,$874.6587,199377,$780.3078,$1173.0117,$780.3078
05-12-2021,$752.2575,180,$757.3576,$782.8578,$739.5074
05-11-2021,$770.1077,224,$770.1077,$787.9579,$744.6074
05-10-2021,$803.258,417,$813.4581,$915.4592,$793.0834
05-07-2021,$787.9579,120,$775.2078,$850.2295,$775.2078
05-06-2021,$782.8578,195,$828.7583,$836.4084,$777.7578
05-05-2021,$841.5084,461,$864.4586,$953.7095,$790.5079
05-04-2021,$877.2088,392,$826.2083,$899.19,$824.9333
05-03-2021,$844.0584,110,$861.9086,$876.8518,$831.3083
04/30/2021,$854.2585,46,$849.1585,$887.4089,$846.2515
04/29/2021,$859.3586,124,$912.9091,$912.9091,$823.6582
04/28/2021,$918.0092,102,$910.3591,$933.3093,$895.059
04/27/2021,$923.1092,214,$879.7588,$930.7593,$861.9086
04/26/2021,$889.9589,335,$859.3586,$910.3591,$840.2334
04/23/2021,$856.8086,112,$851.7085,$869.5587,$816.0082
04/22/2021,$869.5587,289,$902.709,$923.1092,$838.4484
04/21/2021,$872.1087,247,$803.258,$877.2088,$795.608
04/20/2021,$831.3083,1471,$861.9086,$1040.2829,$816.0082
04/19/2021,$884.8589,1292,$790.5079,$943.5094,$790.5079
04/16/2021,$790.5079,397,$752.2575,$802.544,$719.1072
04/15/2021,$767.5577,506,$892.5089,$892.5089,$744.6074
04/14/2021,$872.1087,382,$930.7593,$963.9096,$846.6085
04/13/2021,$928.2093,331,$986.8599,$997.06,$895.059
04-12-2021,$991.9599,311,$1060.8106,$1068.4607,$981.7598
04-09-2021,$1040.4104,317,$1060.8106,$1114.3611,$1025.1103
04-08-2021,$1086.3109,1054,$1020.0102,$1124.5612,$963.9096
04-07-2021,$1004.71,735,$1048.0605,$1058.2606,$984.3098
04-06-2021,$1045.5105,143,$1099.061,$1099.061,$1045.5105
04-05-2021,$1101.611,340,$1109.2611,$1116.9112,$1060.8106
04-01-2021,$1116.9112,154,$1144.9615,$1146.0835,$1106.7111
03/31/2021,$1111.8111,234,$1091.4109,$1165.3617,$1091.4109
03/30/2021,$1086.3109,254,$1116.9112,$1144.9615,$1083.7608
03/29/2021,$1147.5115,185,$1147.5115,$1160.2616,$1109.2611
03/26/2021,$1142.4114,216,$1137.3114,$1195.962,$1132.2113
03/25/2021,$1124.5612,176,$1086.3109,$1134.7614,$1086.3109
03/24/2021,$1086.3109,553,$1275.0128,$1371.9137,$1082.4858
03/23/2021,$1267.3627,360,$1282.6628,$1317.0882,$1234.2123
03/22/2021,$1348.9635,379,$1275.0128,$1389.7639,$1236.7624
03/19/2021,$1254.6125,687,$1326.0133,$1402.514,$1254.6125
03/18/2021,$1323.4632,573,$1359.1636,$1430.8958,$1290.3129
03/17/2021,$1377.0138,326,$1285.2129,$1402.514,$1280.1128
03/16/2021,$1315.8132,1067,$1320.9132,$1448.5675,$1264.8127
03/15/2021,$1320.9132,1992,$1241.4544,$1397.3885,$1193.4119
03-12-2021,$1119.4612,284,$1116.9112,$1147.5115,$1083.7608
03-11-2021,$1124.5612,305,$1122.0112,$1157.7116,$1099.061
03-10-2021,$1111.8111,296,$1116.9112,$1134.7614,$1083.7608
03-09-2021,$1116.9112,988,$1144.9615,$1201.47,$1076.1108
03-08-2021,$1239.3124,1031,$1081.2108,$1264.8127,$1020.0102
03-05-2021,$1071.0107,768,$1091.4109,$1139.3514,$1007.2601
03-04-2021,$1147.5115,1474,$1280.1128,$1282.6628,$1027.6603
03-03-2021,$1303.063,10543,$1428.0143,$1657.5166,$1252.0625
03-02-2021,$1359.1636,10556,$1224.0122,$1399.964,$1198.512
03-01-2021,$1170.4617,621,$1142.4114,$1192.9019,$1096.511
02/26/2021,$1076.1108,785,$1239.3124,$1239.3124,$1065.9107
02/25/2021,$1234.2123,1804,$1275.0128,$1313.2631,$1178.1118
02/24/2021,$1119.4612,3803,$1002.16,$1338.7634,$994.5099
02/23/2021,$1022.5602,543,$1053.1605,$1070.9852,$961.3596
02/22/2021,$1076.1108,406,$1109.2611,$1147.5115,$1060.8106
02/19/2021,$1109.2611,656,$1122.0112,$1147.5115,$1076.1108
02/18/2021,$1065.9107,884,$1109.2611,$1137.3114,$1032.7603
02/17/2021,$1114.3611,1146,$1326.0133,$1328.5633,$1086.3109
02/16/2021,$1290.3129,1012,$1338.7634,$1377.0138,$1277.5628
02-12-2021,$1328.5633,1899,$1522.3652,$1524.9153,$1226.5623
02-11-2021,$1547.8655,1076,$1734.0173,$1734.0173,$1530.0153
02-10-2021,$1654.9666,4398,$1785.0179,$1785.0179,$1530.0153
02-09-2021,$1484.1148,8040,$1377.0138,$2312.8731,$1326.0133
02-08-2021,$8532.8617,458,$4479.4793,$10925.5592,$4479.4793
02-05-2021,$3823.9457,82,$2163.2607,$4151.7125,$2163.2607
02-04-2021,$1964.4155,25,$1431.2482,$1964.4155,$1332.9182
02-03-2021,$1431.2482,15,$1440.535,$1573.2805,$1221.4775
02-02-2021,$1518.6527,5,$1308.882,$1529.5783,$1308.882
02-01-2021,$1551.4294,28,$1442.1738,$1551.4294,$1092.5559
01/29/2021,$1573.2805,9,$1551.4294,$1573.2805,$1420.3227
01/28/2021,$1529.5783,3,$1529.5783,$1529.5783,$1223.6626
01/27/2021,$1501.3903,7,$1486.9686,$1529.5783,$1387.546
01/26/2021,$1529.5783,3,$1393.0088,$1529.5783,$1393.0088
01/25/2021,$1529.5783,13,$1547.0592,$1547.0592,$1425.7855
01/22/2021,$1505.5421,15,$1464.0249,$1578.3063,$1361.4339
01/21/2021,$1464.0249,24,$1485.876,$1507.7272,$1309.9745
01/20/2021,$1486.9686,11,$1529.5783,$1529.5783,$1464.0249
01/19/2021,$1496.8016,6,$1638.8339,$1638.8339,$1464.0249
01/15/2021,$1529.5783,7,$1682.5361,$1682.5361,$1459.6547
01/14/2021,$1453.0994,10,$1513.1899,$1660.685,$1453.0994
01/13/2021,$1519.7453,5,$1545.9666,$1595.1316,$1465.1175
01-12-2021,$1595.1316,1,$1595.1316,$1595.1316,$1507.7272
01-11-2021,$1507.7272,5,$1536.2429,$1545.9666,$1485.876
01-08-2021,$1595.1316,4,$1625.7232,$1625.7232,$1488.0612
01-07-2021,$1556.8922,2,$1530.6708,$1625.7232,$1529.5783
01-06-2021,$1623.5381,16,$1464.0249,$1680.351,$1464.0249
01-05-2021,$1584.2061,31,$1704.3872,$1857.3451,$1114.407
01-04-2021,$1524.1155,16,$1709.413,$1748.0895,$1468.3952
12/31/2020,$1638.8339,36,$1966.6006,$1966.6006,$1420.3227
